marital status,course,daytime/evening attendance,displaced,debtor,tuition fees up to date,gender,scholarship holder,unemployment rate,gdp,target
Single,Social Service,Daytime,1,1,1,Female,1,7.6,0.32,Enrolled
Single,Social Service,Daytime,1,0,1,Female,0,16.2,-0.92,Graduate
Single,Veterinary,Daytime,1,0,1,Female,0,9.4,-3.12,Enrolled
Single,Management,Daytime,1,0,1,Female,0,16.2,-0.92,Graduate
Single,Nursing,Daytime,1,0,1,Male,0,16.2,-0.92,Enrolled
Single,Agronomy,Daytime,0,0,1,Male,0,16.2,-0.92,Enrolled
Single,Communication,Daytime,1,0,1,Male,0,8.9,3.51,Graduate
Single,Management,Daytime,0,0,0,Male,0,8.9,3.51,Enrolled
Single,Social Service,Evening,1,0,1,Female,0,12.4,1.79,Graduate
Single,Management,Evening,0,0,1,Male,0,13.9,0.79,Graduate
Single,Biofuel Technologies,Daytime,0,1,0,Male,0,8.9,3.51,Dropout
Single,Informatics Engineering,Daytime,1,0,1,Male,0,7.6,0.32,Dropout
Single,Management,Daytime,0,0,1,Female,0,16.2,-0.92,Dropout
Divorced,Management,Evening,1,0,1,Female,0,7.6,0.32,Graduate
Single,Equiniculture,Daytime,0,1,0,Female,0,12.4,1.79,Dropout
Single,Journalism,Daytime,0,1,1,Female,0,12.7,-1.7,Dropout
Single,Management,Daytime,1,0,1,Female,0,8.9,3.51,Graduate
Single,Nursing,Daytime,1,0,1,Female,0,11.1,2.02,Graduate
Single,Journalism,Daytime,0,0,0,Female,0,12.4,1.79,Dropout
Single,Management,Evening,0,0,1,Female,0,16.2,-0.92,Dropout
Single,Management,Evening,0,0,1,Female,0,7.6,0.32,Enrolled
Single,Social Service,Daytime,1,0,1,Female,0,11.1,2.02,Graduate
Single,Nursing,Daytime,1,0,1,Female,1,11.1,2.02,Graduate
Single,Social Service,Evening,0,0,1,Female,1,12.4,1.79,Graduate
Single,Social Service,Daytime,0,0,1,Female,1,12.7,-1.7,Graduate
Single,Tourism,Daytime,0,0,1,Female,1,12.4,1.79,Graduate
Single,Nursing,Daytime,1,0,1,Female,1,9.4,-3.12,Enrolled
Single,Journalism,Daytime,1,0,1,Female,1,9.4,-3.12,Enrolled
Single,Equiniculture,Daytime,0,0,1,Female,0,7.6,0.32,Graduate
Single,Management,Evening,0,0,1,Female,0,9.4,-3.12,Dropout
Single,Nursing,Daytime,1,0,1,Female,0,15.5,-4.06,Graduate
Married,Tourism,Daytime,0,0,1,Female,0,12.4,1.79,Dropout
Single,Equiniculture,Daytime,1,0,1,Female,0,12.4,1.79,Dropout
Single,Nursing,Daytime,1,0,1,Female,0,9.4,-3.12,Graduate
Single,Animation,Daytime,1,0,1,Female,0,7.6,0.32,Enrolled
Single,Nursing,Daytime,0,0,1,Female,0,16.2,-0.92,Graduate
Single,Social Service,Daytime,0,0,1,Female,1,13.9,0.79,Graduate
Single,Animation,Daytime,1,0,1,Male,1,10.8,1.74,Enrolled
Single,Communication,Daytime,1,0,1,Male,0,10.8,1.74,Enrolled
Single,Communication,Daytime,0,0,1,Male,0,12.7,-1.7,Enrolled
Divorced,Nursing,Daytime,1,0,1,Male,0,13.9,0.79,Dropout
Single,Animation,Daytime,1,0,1,Male,1,10.8,1.74,Graduate
Single,Agronomy,Daytime,1,0,1,Male,0,8.9,3.51,Graduate
Single,Management,Daytime,0,1,1,Male,0,16.2,-0.92,Dropout
Single,Tourism,Daytime,0,0,1,Male,0,12.7,-1.7,Enrolled
Single,Management,Daytime,0,0,1,Male,0,7.6,0.32,Enrolled
Single,Nursing,Daytime,0,0,1,Male,0,13.9,0.79,Graduate
Single,Animation,Daytime,1,0,1,Male,0,15.5,-4.06,Dropout
Single,Tourism,Daytime,1,0,1,Male,0,12.4,1.79,Dropout
Single,Journalism,Daytime,1,0,1,Male,0,10.8,1.74,Graduate
Single,Management,Daytime,1,1,1,Male,0,10.8,1.74,Dropout
Single,Tourism,Daytime,1,0,1,Male,1,9.4,-3.12,Dropout
Single,Journalism,Daytime,1,1,1,Male,1,8.9,3.51,Graduate
Single,Nursing,Daytime,0,0,1,Male,1,16.2,-0.92,Graduate
Married,Social Service,Evening,0,0,1,Male,0,10.8,1.74,Graduate
Single,Basic Education,Daytime,1,0,1,Male,0,10.8,1.74,Dropout
Single,Management,Evening,1,0,1,Male,0,10.8,1.74,Dropout
Single,Agronomy,Daytime,0,1,1,Male,0,12.4,1.79,Dropout
Single,Tourism,Daytime,0,0,1,Male,0,12.7,-1.7,Enrolled
Married,Social Service,Evening,1,0,1,Female,0,9.4,-3.12,Graduate
Single,Nursing,Daytime,1,0,1,Female,1,10.8,1.74,Graduate
Single,Marketing,Daytime,0,0,1,Female,1,9.4,-3.12,Graduate
Single,Communication,Daytime,1,0,1,Male,0,7.6,0.32,Graduate
Single,Management,Daytime,1,0,1,Male,0,11.1,2.02,Enrolled
Single,Informatics Engineering,Daytime,1,1,1,Male,0,15.5,-4.06,Enrolled
Single,Nursing,Daytime,0,0,1,Male,0,13.9,0.79,Dropout
Single,Journalism,Daytime,1,0,0,Female,0,8.9,3.51,Graduate
Single,Equiniculture,Daytime,0,0,1,Female,0,8.9,3.51,Dropout
Married,Basic Education,Daytime,0,0,1,Female,0,7.6,0.32,Dropout
Married,Social Service,Evening,0,0,1,Female,0,12.7,-1.7,Graduate
Single,Informatics Engineering,Daytime,1,0,1,Male,0,13.9,0.79,Enrolled
Single,Journalism,Daytime,1,0,1,Female,0,8.9,3.51,Graduate
Single,Nursing,Daytime,1,0,1,Female,1,12.4,1.79,Graduate
Single,Veterinary,Daytime,1,0,1,Female,0,12.7,-1.7,Enrolled
Single,Nursing,Daytime,1,1,0,Female,0,13.9,0.79,Dropout
Single,Veterinary,Daytime,0,0,1,Female,0,8.9,3.51,Dropout
Single,Animation,Daytime,1,0,1,Female,0,16.2,-0.92,Graduate
Married,Social Service,Evening,1,0,1,Female,0,9.4,-3.12,Dropout
Divorced,Agronomy,Daytime,0,0,1,Female,0,15.5,-4.06,Graduate
Single,Basic Education,Daytime,1,0,1,Female,0,11.1,2.02,Dropout
Single,Communication,Daytime,0,1,1,Female,0,11.1,2.02,Graduate
Single,Social Service,Daytime,1,0,1,Female,0,16.2,-0.92,Dropout
Single,Veterinary,Daytime,1,0,1,Female,0,15.5,-4.06,Dropout
Single,Nursing,Daytime,1,0,1,Female,0,12.4,1.79,Dropout
Single,Basic Education,Daytime,1,0,1,Female,0,16.2,-0.92,Enrolled
Single,Social Service,Daytime,1,0,1,Female,0,13.9,0.79,Graduate
Single,Management,Daytime,1,0,1,Female,1,8.9,3.51,Enrolled
Single,Veterinary,Daytime,1,0,1,Female,0,10.8,1.74,Graduate
Single,Journalism,Daytime,1,0,1,Female,0,10.8,1.74,Graduate
Single,Nursing,Daytime,1,0,1,Female,0,7.6,0.32,Dropout
Single,Nursing,Daytime,0,0,1,Female,0,13.9,0.79,Enrolled
Single,Social Service,Daytime,1,0,1,Female,1,7.6,0.32,Enrolled
Single,Management,Daytime,0,0,1,Female,0,12.4,1.79,Enrolled
Single,Veterinary,Daytime,0,0,1,Female,0,9.4,-3.12,Graduate
Single,Management,Daytime,0,0,1,Female,0,11.1,2.02,Graduate
Single,Tourism,Daytime,1,0,1,Female,0,9.4,-3.12,Dropout
Single,Management,Daytime,1,0,1,Female,0,16.2,-0.92,Graduate
Single,Animation,Daytime,0,0,1,Female,0,10.8,1.74,Dropout
Single,Marketing,Daytime,0,0,1,Female,1,9.4,-3.12,Graduate
Single,Veterinary,Daytime,1,0,1,Female,0,15.5,-4.06,Graduate
Single,Oral Hygiene,Daytime,1,0,1,Female,0,13.9,0.79,Dropout
Single,Veterinary,Daytime,1,0,1,Female,0,12.4,1.79,Graduate
Single,Basic Education,Daytime,1,0,1,Female,1,9.4,-3.12,Enrolled
Single,Social Service,Daytime,1,0,1,Female,0,12.4,1.79,Graduate
Single,Nursing,Daytime,1,0,1,Female,0,12.4,1.79,Graduate
Single,Nursing,Daytime,1,0,1,Female,1,13.9,0.79,Dropout
Single,Communication,Daytime,1,0,1,Female,0,7.6,0.32,Graduate
Single,Management,Daytime,1,0,1,Female,0,8.9,3.51,Graduate
Single,Nursing,Daytime,1,0,1,Female,0,13.9,0.79,Dropout
Single,Social Service,Daytime,0,0,1,Female,0,7.6,0.32,Graduate
Single,Marketing,Daytime,0,1,0,Female,1,12.4,1.79,Dropout
Single,Marketing,Daytime,1,0,1,Female,0,7.6,0.32,Graduate
Single,Journalism,Daytime,0,1,1,Female,1,8.9,3.51,Graduate
Single,Nursing,Daytime,0,0,1,Female,1,11.1,2.02,Enrolled
Single,Nursing,Daytime,0,0,1,Female,0,13.9,0.79,Graduate
Single,Nursing,Daytime,1,0,1,Female,0,7.6,0.32,Graduate
Single,Journalism,Daytime,1,0,1,Female,1,12.4,1.79,Graduate
Single,Management,Daytime,1,1,0,Female,0,8.9,3.51,Enrolled
Single,Social Service,Daytime,1,0,1,Female,1,12.4,1.79,Graduate
Single,Nursing,Daytime,1,0,1,Female,1,15.5,-4.06,Graduate
Single,Basic Education,Daytime,1,0,1,Female,1,9.4,-3.12,Graduate
Single,Tourism,Daytime,1,0,1,Female,0,7.6,0.32,Dropout
Single,Tourism,Daytime,1,0,1,Female,0,7.6,0.32,Dropout
Single,Management,Daytime,0,0,1,Female,0,13.9,0.79,Graduate
Single,Nursing,Daytime,0,0,1,Female,1,11.1,2.02,Graduate
Single,Animation,Daytime,1,0,1,Female,0,9.4,-3.12,Enrolled
Single,Veterinary,Daytime,0,0,1,Female,0,7.6,0.32,Graduate
Single,Basic Education,Daytime,1,0,1,Female,0,9.4,-3.12,Enrolled
Single,Basic Education,Daytime,1,0,1,Female,0,7.6,0.32,Graduate
Single,Basic Education,Daytime,1,0,1,Female,0,9.4,-3.12,Dropout
Single,Basic Education,Daytime,0,0,1,Female,0,7.6,0.32,Dropout
Single,Management,Daytime,0,0,1,Female,1,12.4,1.79,Graduate
Single,Social Service,Daytime,1,0,1,Female,1,12.7,-1.7,Graduate
Single,Social Service,Daytime,1,0,1,Female,0,9.4,-3.12,Graduate
Single,Social Service,Evening,0,0,1,Female,1,11.1,2.02,Graduate
Single,Marketing,Daytime,0,0,1,Female,0,10.8,1.74,Dropout
Single,Nursing,Daytime,1,0,1,Female,1,15.5,-4.06,Graduate
Single,Nursing,Daytime,1,0,1,Female,0,15.5,-4.06,Graduate
Single,Basic Education,Daytime,1,0,1,Female,0,10.8,1.74,Dropout
Single,Marketing,Daytime,0,0,1,Female,0,7.6,0.32,Graduate
Single,Journalism,Daytime,0,0,1,Female,1,15.5,-4.06,Graduate
Single,Agronomy,Daytime,0,1,1,Female,0,8.9,3.51,Enrolled
Single,Social Service,Daytime,0,0,1,Female,0,13.9,0.79,Graduate
Single,Nursing,Daytime,0,0,1,Female,0,12.7,-1.7,Graduate
Single,Social Service,Daytime,1,0,1,Female,0,16.2,-0.92,Dropout
Single,Veterinary,Daytime,1,0,1,Female,0,12.7,-1.7,Enrolled
Single,Oral Hygiene,Daytime,0,0,1,Female,0,15.5,-4.06,Graduate
Single,Nursing,Daytime,1,0,1,Female,0,7.6,0.32,Graduate
Single,Social Service,Evening,0,0,1,Female,0,9.4,-3.12,Graduate
Single,Tourism,Daytime,1,1,0,Female,0,11.1,2.02,Dropout
Single,Marketing,Daytime,1,0,1,Female,1,7.6,0.32,Enrolled
Single,Basic Education,Daytime,0,0,1,Female,0,7.6,0.32,Graduate
Single,Nursing,Daytime,1,0,1,Female,0,7.6,0.32,Dropout
Single,Basic Education,Daytime,1,0,1,Female,0,9.4,-3.12,Dropout
Single,Nursing,Daytime,0,0,1,Female,0,16.2,-0.92,Dropout
Single,Basic Education,Daytime,1,0,1,Female,0,12.4,1.79,Graduate
Single,Management,Evening,0,0,1,Female,1,9.4,-3.12,Enrolled
Single,Journalism,Daytime,0,1,0,Female,0,11.1,2.02,Dropout
Single,Communication,Daytime,1,0,0,Female,0,15.5,-4.06,Dropout
Single,Tourism,Daytime,0,0,1,Female,0,11.1,2.02,Dropout
Single,Management,Daytime,1,1,0,Female,0,10.8,1.74,Dropout
Single,Social Service,Daytime,0,1,0,Female,0,9.4,-3.12,Enrolled
Single,Nursing,Daytime,1,0,1,Female,1,7.6,0.32,Graduate
Single,Veterinary,Daytime,1,0,1,Female,0,8.9,3.51,Dropout
Single,Communication,Daytime,1,0,1,Female,0,16.2,-0.92,Graduate
Single,Tourism,Daytime,0,0,1,Female,1,13.9,0.79,Graduate
Single,Social Service,Evening,0,0,1,Female,0,9.4,-3.12,Enrolled
Single,Management,Daytime,1,0,1,Female,0,7.6,0.32,Dropout
Single,Basic Education,Daytime,0,0,1,Female,0,12.4,1.79,Dropout
Single,Nursing,Daytime,1,0,1,Female,0,12.7,-1.7,Graduate
Single,Management,Evening,1,0,1,Female,0,8.9,3.51,Dropout
Single,Nursing,Daytime,1,0,1,Female,0,9.4,-3.12,Graduate
Single,Informatics Engineering,Daytime,0,0,1,Female,0,13.9,0.79,Dropout
Single,Basic Education,Daytime,0,0,1,Female,0,11.1,2.02,Graduate
Single,Nursing,Daytime,0,0,1,Female,0,11.1,2.02,Enrolled
Single,Veterinary,Daytime,1,0,1,Female,0,10.8,1.74,Graduate
Single,Social Service,Daytime,1,0,1,Female,0,7.6,0.32,Graduate
Single,Nursing,Daytime,1,0,1,Female,0,10.8,1.74,Graduate
Single,Social Service,Daytime,0,1,1,Female,0,13.9,0.79,Graduate
Single,Social Service,Daytime,0,0,1,Female,1,16.2,-0.92,Graduate
Single,Social Service,Daytime,1,0,1,Female,0,7.6,0.32,Graduate
Single,Nursing,Daytime,1,0,1,Female,0,12.7,-1.7,Graduate
Single,Journalism,Daytime,1,0,1,Female,1,16.2,-0.92,Graduate
Single,Veterinary,Daytime,1,0,1,Female,0,13.9,0.79,Graduate
Single,Tourism,Daytime,0,0,1,Female,1,16.2,-0.92,Dropout
Single,Nursing,Daytime,1,0,1,Female,1,12.7,-1.7,Graduate
Single,Nursing,Daytime,0,0,1,Female,1,7.6,0.32,Graduate
Single,Equiniculture,Daytime,1,0,1,Female,1,13.9,0.79,Graduate
Single,Management,Evening,0,0,1,Female,1,16.2,-0.92,Dropout
Single,Journalism,Daytime,0,0,1,Female,0,7.6,0.32,Graduate
Single,Oral Hygiene,Daytime,0,0,1,Female,0,15.5,-4.06,Enrolled
Single,Management,Daytime,1,0,1,Female,1,12.4,1.79,Graduate
Single,Social Service,Evening,1,0,1,Female,0,9.4,-3.12,Dropout
Single,Social Service,Evening,0,0,1,Female,1,8.9,3.51,Dropout
Single,Veterinary,Daytime,0,0,1,Female,0,7.6,0.32,Dropout
Single,Management,Daytime,0,0,1,Female,1,9.4,-3.12,Graduate
Married,Basic Education,Daytime,0,0,1,Female,1,10.8,1.74,Graduate
Single,Tourism,Daytime,1,0,1,Female,0,9.4,-3.12,Dropout
Single,Nursing,Daytime,0,0,1,Female,1,11.1,2.02,Graduate
Single,Nursing,Daytime,1,0,1,Female,1,16.2,-0.92,Graduate
Married,Management,Evening,0,0,1,Female,0,11.1,2.02,Graduate
Married,Management,Daytime,0,0,1,Female,0,12.4,1.79,Graduate
Single,Social Service,Daytime,0,0,1,Female,1,11.1,2.02,Graduate
Single,Marketing,Daytime,1,0,1,Female,0,7.6,0.32,Dropout
Single,Nursing,Daytime,1,0,1,Female,1,12.7,-1.7,Graduate
Single,Tourism,Daytime,1,0,1,Female,0,12.7,-1.7,Graduate
Single,Tourism,Daytime,0,0,1,Female,0,15.5,-4.06,Dropout
Single,Marketing,Daytime,0,0,1,Female,0,9.4,-3.12,Graduate
Single,Tourism,Daytime,0,0,1,Female,1,15.5,-4.06,Graduate
Single,Management,Daytime,0,0,1,Female,0,16.2,-0.92,Dropout
Single,Social Service,Daytime,0,0,1,Female,1,10.8,1.74,Graduate
Single,Basic Education,Daytime,0,0,1,Female,1,9.4,-3.12,Graduate
Single,Social Service,Daytime,0,0,1,Female,1,15.5,-4.06,Graduate
Single,Equiniculture,Daytime,1,0,0,Female,0,9.4,-3.12,Dropout
Single,Veterinary,Daytime,0,1,0,Female,0,16.2,-0.92,Dropout
Single,Nursing,Daytime,1,0,1,Female,0,12.4,1.79,Enrolled
Single,Animation,Daytime,1,0,1,Female,0,12.4,1.79,Enrolled
Single,Management,Daytime,1,0,1,Female,1,12.4,1.79,Graduate
Single,Management,Daytime,0,0,0,Female,0,10.8,1.74,Dropout
Single,Management,Daytime,0,0,1,Female,1,8.9,3.51,Graduate
Single,Nursing,Daytime,0,0,1,Female,0,9.4,-3.12,Graduate
Single,Nursing,Daytime,1,0,1,Female,1,10.8,1.74,Graduate
Single,Agronomy,Daytime,0,1,0,Female,0,13.9,0.79,Dropout
Single,Tourism,Daytime,1,0,1,Female,0,11.1,2.02,Graduate
Single,Marketing,Daytime,1,0,1,Female,1,11.1,2.02,Graduate
Single,Communication,Daytime,1,0,1,Female,0,9.4,-3.12,Enrolled
Single,Journalism,Daytime,1,0,1,Female,1,8.9,3.51,Dropout
Single,Veterinary,Daytime,0,0,1,Female,0,7.6,0.32,Graduate
Single,Journalism,Daytime,1,0,1,Female,0,9.4,-3.12,Enrolled
Single,Management,Daytime,0,0,1,Female,0,8.9,3.51,Graduate
Married,Oral Hygiene,Daytime,1,1,0,Female,1,8.9,3.51,Dropout
Single,Management,Evening,0,0,1,Female,0,16.2,-0.92,Graduate
Single,Communication,Daytime,0,0,1,Female,0,7.6,0.32,Enrolled
Single,Social Service,Daytime,1,0,1,Female,1,12.4,1.79,Graduate
Single,Social Service,Daytime,1,1,0,Female,0,16.2,-0.92,Dropout
Single,Tourism,Daytime,0,0,1,Female,1,15.5,-4.06,Graduate
Single,Social Service,Evening,0,0,1,Female,0,12.7,-1.7,Dropout
Single,Informatics Engineering,Daytime,0,1,0,Female,0,7.6,0.32,Dropout
Single,Social Service,Daytime,0,0,1,Female,0,10.8,1.74,Graduate
Single,Social Service,Daytime,0,0,1,Female,0,12.4,1.79,Graduate
Single,Journalism,Daytime,1,0,1,Female,0,9.4,-3.12,Graduate
Single,Nursing,Daytime,1,0,1,Female,0,12.7,-1.7,Graduate
Single,Journalism,Daytime,1,0,1,Female,1,12.7,-1.7,Graduate
Single,Communication,Daytime,1,0,1,Female,1,10.8,1.74,Graduate
Single,Nursing,Daytime,0,0,1,Female,1,12.7,-1.7,Graduate
Single,Agronomy,Daytime,0,0,1,Female,1,13.9,0.79,Graduate
Single,Management,Daytime,1,0,0,Female,0,7.6,0.32,Dropout
Single,Management,Daytime,1,0,1,Female,0,13.9,0.79,Graduate
Single,Nursing,Daytime,0,0,1,Female,0,11.1,2.02,Graduate
Single,Social Service,Daytime,0,0,1,Female,0,16.2,-0.92,Graduate
Single,Nursing,Daytime,1,0,1,Female,0,13.9,0.79,Graduate
Single,Basic Education,Daytime,0,0,1,Female,0,12.7,-1.7,Dropout
Married,Equiniculture,Daytime,0,1,0,Female,0,7.6,0.32,Dropout
Single,Nursing,Daytime,0,0,1,Female,1,12.4,1.79,Enrolled
Single,Nursing,Daytime,1,0,1,Female,1,15.5,-4.06,Graduate
Single,Management,Daytime,1,0,1,Female,1,16.2,-0.92,Graduate
Divorced,Social Service,Evening,1,0,1,Female,1,16.2,-0.92,Graduate
Married,Management,Evening,0,0,1,Female,0,8.9,3.51,Graduate
Single,Communication,Daytime,0,0,1,Female,1,16.2,-0.92,Graduate
Single,Social Service,Evening,0,0,1,Female,0,7.6,0.32,Graduate
Married,Journalism,Daytime,0,0,1,Female,0,7.6,0.32,Graduate
Single,Communication,Daytime,0,0,1,Female,0,15.5,-4.06,Enrolled
Single,Social Service,Evening,0,0,1,Female,0,7.6,0.32,Graduate
Single,Social Service,Evening,1,0,1,Female,1,10.8,1.74,Graduate
Single,Nursing,Daytime,1,0,1,Female,0,9.4,-3.12,Graduate
Single,Veterinary,Daytime,1,0,1,Female,0,15.5,-4.06,Graduate
Single,Agronomy,Daytime,0,1,1,Female,1,13.9,0.79,Graduate
Single,Agronomy,Daytime,0,0,1,Female,0,12.4,1.79,Enrolled
Single,Social Service,Daytime,1,0,1,Female,1,8.9,3.51,Graduate
Single,Communication,Daytime,1,0,1,Female,1,8.9,3.51,Dropout
Married,Nursing,Daytime,0,0,1,Female,1,10.8,1.74,Graduate
Single,Journalism,Daytime,1,0,1,Female,1,12.4,1.79,Graduate
Single,Social Service,Daytime,1,0,1,Female,0,12.4,1.79,Graduate
Single,Oral Hygiene,Daytime,1,0,1,Female,0,12.4,1.79,Graduate
Single,Nursing,Daytime,0,0,1,Female,0,9.4,-3.12,Graduate
Single,Marketing,Daytime,1,0,1,Female,0,11.1,2.02,Graduate
Single,Veterinary,Daytime,1,0,1,Female,1,10.8,1.74,Graduate
Single,Nursing,Daytime,0,0,1,Female,1,15.5,-4.06,Graduate
Single,Marketing,Daytime,0,1,0,Female,0,9.4,-3.12,Dropout
Single,Social Service,Daytime,1,0,1,Female,0,9.4,-3.12,Dropout
Single,Marketing,Daytime,1,0,1,Female,0,10.8,1.74,Enrolled
Single,Marketing,Daytime,1,0,1,Female,0,11.1,2.02,Graduate
Single,Equiniculture,Daytime,1,0,1,Female,0,12.7,-1.7,Dropout
Single,Veterinary,Daytime,0,0,1,Female,0,7.6,0.32,Graduate
Single,Equiniculture,Daytime,1,1,0,Female,0,12.4,1.79,Dropout
Single,Social Service,Daytime,0,1,1,Female,0,11.1,2.02,Graduate
Single,Basic Education,Daytime,1,0,1,Female,0,7.6,0.32,Dropout
Single,Management,Daytime,0,0,1,Female,1,11.1,2.02,Graduate
Single,Basic Education,Daytime,1,0,1,Female,1,9.4,-3.12,Graduate
Single,Management,Daytime,0,0,1,Female,0,11.1,2.02,Dropout
Single,Management,Daytime,0,0,1,Female,0,11.1,2.02,Graduate
Single,Nursing,Daytime,1,0,1,Female,1,16.2,-0.92,Graduate
Single,Nursing,Daytime,0,0,1,Female,0,11.1,2.02,Graduate
Single,Social Service,Daytime,0,0,1,Female,1,12.4,1.79,Graduate
Single,Nursing,Daytime,0,0,1,Female,0,15.5,-4.06,Enrolled
Single,Veterinary,Daytime,0,1,0,Female,0,8.9,3.51,Dropout
Single,Nursing,Daytime,1,0,1,Female,1,10.8,1.74,Graduate
Single,Nursing,Daytime,0,0,1,Female,0,16.2,-0.92,Graduate
Single,Management,Daytime,0,0,1,Female,0,7.6,0.32,Graduate
Single,Veterinary,Daytime,1,0,1,Female,0,7.6,0.32,Enrolled
Single,Tourism,Daytime,1,0,1,Female,0,16.2,-0.92,Graduate
Single,Nursing,Daytime,1,0,1,Female,0,7.6,0.32,Graduate
Single,Social Service,Daytime,0,1,1,Female,0,13.9,0.79,Graduate
Single,Basic Education,Daytime,1,0,1,Female,0,9.4,-3.12,Enrolled
Single,Veterinary,Daytime,1,0,1,Female,0,9.4,-3.12,Enrolled
Single,Basic Education,Daytime,1,0,1,Female,0,11.1,2.02,Enrolled
Single,Informatics Engineering,Daytime,0,1,1,Female,0,16.2,-0.92,Dropout
Single,Social Service,Daytime,1,0,1,Female,0,12.4,1.79,Graduate
Single,Social Service,Evening,0,0,1,Female,0,12.7,-1.7,Graduate
Single,Social Service,Daytime,1,0,1,Female,1,9.4,-3.12,Graduate
Single,Social Service,Daytime,0,0,1,Female,0,13.9,0.79,Graduate
Single,Basic Education,Daytime,0,1,1,Female,0,12.4,1.79,Graduate
Single,Nursing,Daytime,1,0,1,Female,1,9.4,-3.12,Graduate
Single,Social Service,Daytime,0,0,1,Female,0,13.9,0.79,Graduate
Single,Equiniculture,Daytime,0,0,1,Female,0,7.6,0.32,Graduate
Single,Veterinary,Daytime,1,0,1,Female,0,9.4,-3.12,Enrolled
Single,Animation,Daytime,1,0,1,Female,0,15.5,-4.06,Dropout
Married,Social Service,Evening,1,0,1,Female,0,12.4,1.79,Graduate
Single,Agronomy,Daytime,0,0,1,Female,0,16.2,-0.92,Graduate
Single,Management,Daytime,1,0,1,Female,0,9.4,-3.12,Enrolled
Single,Journalism,Daytime,1,0,1,Female,0,9.4,-3.12,Graduate
Single,Social Service,Daytime,0,0,1,Female,0,15.5,-4.06,Enrolled
Divorced,Management,Evening,0,0,1,Female,0,10.8,1.74,Graduate
Married,Social Service,Daytime,0,0,1,Female,0,12.7,-1.7,Graduate
Single,Social Service,Evening,0,0,1,Female,0,9.4,-3.12,Enrolled
Single,Tourism,Daytime,1,0,1,Female,0,12.7,-1.7,Dropout
Single,Journalism,Daytime,0,0,1,Female,1,12.4,1.79,Graduate
Single,Animation,Daytime,1,0,0,Female,0,9.4,-3.12,Dropout
Married,Nursing,Daytime,0,1,1,Female,1,7.6,0.32,Graduate
Single,Tourism,Daytime,0,1,0,Female,0,10.8,1.74,Dropout
Single,Veterinary,Daytime,1,0,1,Female,0,11.1,2.02,Graduate
Single,Nursing,Daytime,0,0,1,Female,0,13.9,0.79,Graduate
Single,Management,Evening,0,0,1,Female,0,12.7,-1.7,Dropout
Single,Agronomy,Daytime,0,1,1,Female,1,11.1,2.02,Enrolled
Single,Veterinary,Daytime,0,0,1,Female,0,8.9,3.51,Dropout
Single,Basic Education,Daytime,1,0,1,Female,0,10.8,1.74,Graduate
Single,Journalism,Daytime,0,1,1,Female,0,10.8,1.74,Dropout
Single,Management,Daytime,1,0,1,Female,0,16.2,-0.92,Enrolled
Single,Veterinary,Daytime,1,0,1,Female,1,8.9,3.51,Graduate
Single,Nursing,Daytime,1,0,1,Female,0,7.6,0.32,Enrolled
Single,Veterinary,Daytime,1,0,1,Female,1,15.5,-4.06,Graduate
Single,Nursing,Daytime,1,0,1,Female,1,7.6,0.32,Graduate
Single,Veterinary,Daytime,0,0,1,Female,0,7.6,0.32,Enrolled
Single,Basic Education,Daytime,1,0,1,Female,1,8.9,3.51,Graduate
